,To_0,To_1,To_2,To_3,To_4,To_5,To_6,To_7,To_8,To_9,To_10,To_11,To_12,To_13,To_14,To_15,To_16,To_17,To_18,To_19,To_20,To_21,To_22,To_23,To_24,To_25,To_26,To_27,To_28,To_29,To_30,To_31,To_32,To_33,To_34,To_35,To_36,To_37,To_38,To_39,To_40,To_41,To_42,To_43,To_44,To_45,To_46,To_47,To_48,To_49,To_50,To_51,To_52,To_53,To_54,To_55,To_56,To_57,To_58,To_59,To_60,To_61,To_62,To_63,To_64,To_65,To_66,To_67,To_68,To_69,To_70,To_71,To_72,To_73,To_74,To_75,To_76,To_77,To_78,To_79,To_80,To_81,To_82,To_83,To_84,To_85,To_86,To_87,To_88,To_89
From_0,0.11386694994842425,0.013963943158899511,0.009129678382830662,0.00220159192031161,0.016427262790017397,0.044970979015595894,0.006666358751712777,0.035086908995735376,0.025587732668237034,0.002124613181839176,0.04550983018490293,0.07331455052114606,0.0030175665481194094,0.00010777023386140747,0.13705294597632134,0.0016011577602266253,0.034132372638677196,0.010268963712222684,0.03410158114328822,0.007728665342632365,0.005619447908487675,0.004849660523763337,0.008236725016550428,0.010130401982972303,0.0008929533662802334,0.004187643372900405,0.001139285329392022,0.000785183132418826,0.0025095068742013458,0.00040028944005665633,0.00030791495388973565,0.0024633196311178852,0.010730836143057287,0.00021554046772281495,0.0004618724308346035,0.0015241790217541914,0.0008005788801133127,0.0006312256554739581,0.00024633196311178853,0.0004618724308346035,0.0030021708004249227,0.0017859067325604668,0.001139285329392022,0.001139285329392022,0.008205933521161455,0.0026634643511462136,0.002170800424922636,0.0026480686034517265,0.0032023155204532507,0.0009083491139747202,0.006004341600849845,0.010361338198389605,0.00032331070158422246,0.0010777023386140748,0.04975905654858128,0.008713993195079518,0.0005234554216125506,0.00030791495388973565,0.000569642664696011,0.0005542469170015242,0.0001693532246393546,0.0008159746278077995,0.0026018813603682664,0.01277847058642403,0.025141255985096915,0.003525626222037473,0.0006466214031684449,0.02230843840931135,0.13696057149015442,0.0003387064492787092,0.001416408787892784,9.237448616692069e-05,0.001216264067864456,0.001570366264837652,0.00024633196311178853,0.002555694117284806,0.0003848936923621696,0.00015395747694486783,0.0011854725724754823,0.00015395747694486783,0.0025095068742013458,0.0004926639262235771,0.00023093621541730175,0.00041568518775114314,0.00012316598155589427,0.0001693532246393546,0.0008005788801133127,0.0021554046772281495,3.079149538897357e-05,0.00029251920619524885
From_1,0.12881255552265325,0.01784800926050556,0.0034996096589226585,0.007456860580935204,0.0006191617088863165,0.041349234123886185,0.07074595525883652,0.029046760169058067,0.005760895900072684,0.0019113252752577597,0.026004791773225296,0.04643712816647374,0.0029881282472339625,0.0,0.024093466497967533,0.0002961208172934557,0.00207284572105419,0.0361267397098016,0.0025843271327428865,0.006595418203354241,0.003284249064527418,0.025331789915740168,0.011790992543139419,0.015505962796457318,0.0008614423775809621,0.0029342880986351523,0.0011844832691738228,0.0008345223032815571,0.0018844052009583546,0.00043072118879048104,0.0008345223032815571,0.001561364309365494,0.014994481384768622,0.0003230408915928608,0.0003230408915928608,0.0002961208172934557,0.00013460037149702533,0.0006730018574851266,0.0005922416345869114,0.0005922416345869114,0.002315126389748836,0.0009960427490779875,0.0017767249037607344,0.0008345223032815571,0.00403801114491076,0.0008345223032815571,0.003257328990228013,0.0005384014859881013,0.00207284572105419,0.003930330847713139,0.04180687538697607,0.06598110210784182,0.000403801114491076,0.0021536059439524052,0.020970737879236548,0.013971518561391229,0.000403801114491076,0.00018844052009583546,0.0003768810401916709,0.0009691226747785824,8.07602228982152e-05,0.0023420464640482408,0.012140953509031684,0.003230408915928608,0.04541416534309635,0.006137776940264355,0.00043072118879048104,0.017498048294613294,0.13893450345922956,0.00013460037149702533,0.0005653215602875064,0.00013460037149702533,0.00834522303281557,0.0031765687673297976,0.0021266858696530003,0.021536059439524052,0.0023689665383476457,0.00013460037149702533,0.0019651654238565697,0.0002961208172934557,0.01714808732872103,0.0015075241607666837,0.00018844052009583546,0.0003768810401916709,0.0002961208172934557,0.00010768029719762026,0.0009960427490779875,0.005653215602875064,0.00021536059439524052,8.07602228982152e-05
From_2,0.0572268285106688,0.07476523858450217,0.008147953453919858,0.001600917540799503,0.0004539915414207546,0.00322572937325273,0.008267424912188478,0.004492126830900098,0.006594824496427803,0.0010274545411101288,0.004133712456094239,0.03244844806575709,0.0033690951231750733,2.3894291653723926e-05,0.018924278989749348,0.0017920718740292944,0.0015292346658383313,0.005376215622087883,0.0027956321234856992,0.004253183914362859,0.0034168837064825213,0.022723471362691452,0.012926811784664644,0.012879023201357196,0.0009318773744952331,0.006785978829657595,0.000645145874650546,0.0011469259993787484,0.0030584693316766626,0.0012186088743399203,0.0016964947074143988,0.0023177462904112205,0.012018828701823135,0.0007885116245728895,0.0010274545411101288,0.0002628372081909632,0.0007168287496117177,0.0007407230412654417,0.0015053403741846073,0.0016487061241069508,0.004205395331055411,0.001242503165993644,0.0011947145826861963,0.0007885116245728895,0.003154046498291558,0.0010035602494564049,0.0024372177486798405,0.0011708202910324724,0.0034168837064825213,0.003488566581443693,0.04023798714487109,0.07144393204463453,0.0014336574992234355,0.0029867864567154905,0.013691429117583809,0.01053738261929225,0.0007885116245728895,0.00035841437480585886,0.001577023249145779,0.0006929344579579939,0.0004300972497670307,0.004324866789324031,0.009509928078182123,0.002938997873408043,0.16011564837160402,0.000310625791498411,0.0004778858330744785,0.033499796898520943,0.15421375833313422,0.001266397457647368,0.0023416405820649447,0.0001911543332297914,0.019330481947862656,0.0031062579149841105,0.002867314998446871,0.027406752526821343,0.006427564454851736,0.0005017801247282024,0.005543475663663951,0.0023416405820649447,0.03142099352464696,0.005376215622087883,0.0019354376239516379,0.0010991374160713005,0.0002867314998446871,0.0003823086664595828,0.003608038039712313,0.02324914577907338,0.0002867314998446871,0.0004539915414207546
From_3,0.062443845462713386,0.07378706199460916,0.02976190476190476,0.008423180592991913,0.0012353998203054807,0.14521563342318058,0.025381850853548965,0.01504941599281222,0.05211141060197664,0.0017969451931716084,0.01954177897574124,0.018867924528301886,0.0022461814914645105,0.0006738544474393531,0.03582659478885894,0.0038185085354896678,0.0033692722371967657,0.007300089847259658,0.0022461814914645105,0.006401617250673854,0.002583108715184187,0.010444743935309973,0.005840071877807727,0.011343216531895777,0.0020215633423180594,0.0016846361185983828,0.0014600179694519318,0.0020215633423180594,0.0022461814914645105,0.0008984725965858042,0.0008984725965858042,0.0017969451931716084,0.004941599281221923,0.0006738544474393531,0.0010107816711590297,0.00022461814914645105,0.0007861635220125787,0.0006738544474393531,0.00022461814914645105,0.0015723270440251573,0.0020215633423180594,0.0011230907457322552,0.0008984725965858042,0.0012353998203054807,0.0021338724168912847,0.0035938903863432167,0.0017969451931716084,0.0014600179694519318,0.0020215633423180594,0.0016846361185983828,0.021675651392632524,0.029874213836477988,0.0008984725965858042,0.0023584905660377358,0.007412398921832884,0.013589398023360287,0.0010107816711590297,0.00033692722371967657,0.0004492362982929021,0.00033692722371967657,0.00033692722371967657,0.0013477088948787063,0.0061769991015274035,0.014150943396226415,0.14858490566037735,0.003930817610062893,0.0005615453728661276,0.00651392632524708,0.08209793351302785,0.00033692722371967657,0.0011230907457322552,0.00022461814914645105,0.004043126684636119,0.003032345013477089,0.0021338724168912847,0.012129380053908356,0.0029200359389038636,0.00011230907457322552,0.0033692722371967657,0.0006738544474393531,0.024595687331536387,0.0014600179694519318,0.0010107816711590297,0.00011230907457322552,0.00011230907457322552,0.00011230907457322552,0.0033692722371967657,0.009995507637017072,0.00022461814914645105,0.0004492362982929021
From_4,0.025389421807621226,0.10661797060635396,0.20487547302648948,0.03995423743729649,0.0015400862448297105,0.0012320689958637684,0.0006160344979318842,0.001936108422071636,0.00866848543518437,0.005412303088972983,0.0026841503124174953,0.004356243949661181,0.0003080172489659421,0.0023321305993135614,0.01579688462553903,0.0025081404558655283,0.002244125671037578,0.007040394262078677,0.0033001848103493795,0.002420135527589545,0.0007920443544838511,0.0018481034937956526,0.002112118278623603,0.0031241749537974125,0.0006600369620698759,0.0010560591393118015,0.00017600985655196692,0.0008800492827598346,0.0006160344979318842,0.0007040394262078677,0.0006160344979318842,0.00039602217724192556,0.003212179882073396,0.00035201971310393383,0.0003080172489659421,0.00017600985655196692,0.0002640147848279504,8.800492827598346e-05,0.0003080172489659421,0.0002640147848279504,0.0011880665317257767,0.0002640147848279504,0.0004400246413799173,0.00022001232068995864,0.00022001232068995864,0.0004400246413799173,0.003212179882073396,0.0001320073924139752,0.0011880665317257767,0.00017600985655196692,0.0023321305993135614,0.002244125671037578,8.800492827598346e-05,0.0007480418903458594,0.002068115814485611,0.009504532253806213,0.0004400246413799173,0.0003080172489659421,0.00022001232068995864,0.0001320073924139752,0.0,0.0008360468186218429,0.0029921675613834376,0.2277567543782452,0.25869048666725336,0.0005280295696559007,0.003080172489659421,0.0013640763882777436,0.011836662853119774,0.0004400246413799173,0.00039602217724192556,4.400246413799173e-05,0.0007040394262078677,0.0006600369620698759,0.000484027105517909,0.0008360468186218429,8.800492827598346e-05,4.400246413799173e-05,0.0008800492827598346,0.0001320073924139752,0.0016720936372436857,0.00017600985655196692,0.00022001232068995864,0.0001320073924139752,8.800492827598346e-05,8.800492827598346e-05,0.0015840887089677022,0.000968054211035818,0.0001320073924139752,0.00039602217724192556
From_5,0.01790186257630302,0.0800007825950853,0.14485835028956018,0.012814994521834404,0.1847511347628737,0.007767256221630928,0.001340194083581155,0.019310533729848176,0.011044373141336673,0.01072155266864924,0.009410705900766944,0.004431444670527469,0.0005967287525434341,0.003374941305368602,0.007620519643136641,0.0004402097354828612,0.07495304429488182,0.02133549851306934,0.0026608232900297386,0.0028858193770543122,0.002484739395836594,0.006348802629519487,0.011103067772734388,0.007610737204570356,0.00047933948974800437,0.0018880106432931601,0.0004695570511817186,0.000988026295194866,0.0016336672405697292,0.00043042729691657536,0.0006358585068085772,0.0014673657849428705,0.0015358428549068711,0.00022499608702457349,0.00040107998121771796,0.00016630145562685866,0.0005967287525434341,0.0005380341211457192,0.0004695570511817186,0.0002836907184222883,0.0023869150101737363,0.00041086241978400374,0.0012717170136171544,0.0006847706996400062,0.001741274064798873,0.00047933948974800437,0.008657458131162936,0.0005184692440131476,0.0019564877132571606,0.0015554077320394427,0.011709578963844107,0.015368210987634998,0.0003423853498200031,0.0013793238378462984,0.008911801533886368,0.014937783690718423,0.0007336828924714352,0.00014673657849428705,0.0005380341211457192,0.0006358585068085772,0.00018586633275943028,0.0014575833463765847,0.0024553920801377365,0.14523008295507905,0.03918844889654093,0.001242369697918297,0.009410705900766944,0.008774847393958366,0.03536351541712318,0.0003619502269525747,0.0009684614180622945,8.804194709657224e-05,0.0020347472217874473,0.0026706057285960246,0.0008412897167005791,0.0034336359367663173,0.0008902019095320082,0.00013695413992800126,0.001301064329316012,0.00014673657849428705,0.005536860228517765,0.0012814994521834404,0.0006749882610737204,0.0003423853498200031,0.00010760682422914384,0.0003326029112537173,0.001105415557990296,0.0018195335733291595,3.9129754265143214e-05,0.0002347785255908593
From_6,0.018958543983822043,0.023306370070778563,0.04196157735085945,0.004701718907987867,0.03068756319514661,0.013346814964610718,0.004701718907987867,0.012689585439838221,0.44651162790697674,0.0017189079878665318,0.007987866531850353,0.0050050556117290194,0.00015166835187057634,0.0014155712841253793,0.006268958543983822,5.0556117290192114e-05,0.04089989888776542,0.040596562184024264,0.014408493427704751,0.005358948432760364,0.0028311425682507585,0.0029322548028311427,0.0037411526794742162,0.007937310414560162,0.0006572295247724974,0.0020222446916076846,0.000455005055611729,0.0005055611729019212,0.0009605662285136501,0.0004044489383215369,0.00020222446916076846,0.0006572295247724974,0.0006066734074823053,0.00010111223458038423,0.00030333670374115267,0.0004044489383215369,0.0004044489383215369,0.0007077856420626896,0.00010111223458038423,0.00030333670374115267,0.0015672396359959556,0.0007077856420626896,0.0011627906976744186,0.0005055611729019212,0.0025278058645096056,0.0012133468149646107,0.003185035389282103,0.0004044489383215369,0.0020222446916076846,0.0003538928210313448,0.0018705763397371081,0.002982810920121335,0.0002527805864509606,0.0008088978766430738,0.018554095045500506,0.0050050556117290194,0.0004044489383215369,0.00020222446916076846,0.00030333670374115267,0.0002527805864509606,5.0556117290192114e-05,0.0004044489383215369,0.0011627906976744186,0.03543983822042467,0.1455510616784631,0.0008088978766430738,0.0010111223458038423,0.0011122345803842265,0.01481294236602629,0.00030333670374115267,0.0008088978766430738,5.0556117290192114e-05,0.0005055611729019212,0.0004044489383215369,0.000455005055611729,0.0012639029322548028,0.00020222446916076846,0.00015166835187057634,0.0004044489383215369,0.0,0.0011122345803842265,0.00015166835187057634,0.00010111223458038423,0.00010111223458038423,0.0,5.0556117290192114e-05,0.0010616784630940344,0.0009605662285136501,0.00010111223458038423,0.00020222446916076846
From_7,0.0328744417330448,0.018094755743818774,0.024586767346562916,0.005801372070537317,0.004926561996408675,0.09645932133155302,0.008379759657442792,0.0742207283944933,0.07201068189143146,0.005294903080252314,0.05552741838942861,0.0446153137805608,0.002716515493346839,0.0008287674386481882,0.09595285234126802,0.0016575348772963764,0.006215755789861411,0.018186841014779687,0.005018647267369584,0.009024356554169161,0.006215755789861411,0.012753810028086008,0.021087527050048346,0.014135089092499655,0.0024863023159445645,0.004189879828721396,0.001841705419218196,0.0025323449514250197,0.002946728670749114,0.0020258759611400156,0.0023481744095031998,0.0045121782770845805,0.0035452829319950275,0.0010129379805700078,0.0011510658870113725,0.000920852709609098,0.0029927713062295686,0.0015194069708550117,0.0011971085224918275,0.0016114922418159216,0.005801372070537317,0.001473364335374557,0.003729453473916847,0.0024402596804641097,0.0034992402965145727,0.00713660849947051,0.006860352686587781,0.005433030986693678,0.0029927713062295686,0.0020719185966204708,0.016575348772963766,0.020258759611400157,0.0007827248031677333,0.0024402596804641097,0.008379759657442792,0.023527786730512455,0.0017035775127768314,0.0010129379805700078,0.0008287674386481882,0.000920852709609098,0.0003222984483631843,0.0024402596804641097,0.005018647267369584,0.033933422349095264,0.011096275150789632,0.016575348772963766,0.0015194069708550117,0.01625305032460058,0.055205119941065424,0.0011510658870113725,0.002302131774022745,0.0011050232515309175,0.005893457341498228,0.004972604631889129,0.0013352364289331922,0.006584096873705051,0.0020719185966204708,0.0006906395322068235,0.0041438371932409415,0.00036834108384363923,0.017818499930936045,0.003591325567475482,0.001473364335374557,0.0005985542612459137,0.0007827248031677333,0.0002762558128827294,0.004189879828721396,0.0056632441640959525,0.0005525116257654588,0.0007827248031677333
From_8,0.02683428018856521,0.011724888190499215,0.015079173214069866,0.004653692735404327,0.00970022966275837,0.1493110117248882,0.009035416414843466,0.03040009670010879,0.08116765381361055,0.0022664087997098996,0.029735283452193884,0.03296869333978001,0.0016620331197872598,0.0009065635198839599,0.04303154841049196,0.0019642209597485797,0.03402635077964463,0.2174241508521697,0.007796446271002055,0.010939199806599782,0.004744349087392723,0.005983319231234135,0.009035416414843466,0.019642209597485798,0.0023570651516982956,0.004230629759458479,0.0015713767677988637,0.0030823159676054636,0.0025988154236673516,0.0032031911035899914,0.002085096095733108,0.0026290342076634838,0.0018735646077601836,0.0015411579838027318,0.0014202828478182038,0.000997219871872356,0.0012087513598452798,0.0024175027196905595,0.0009065635198839599,0.001238970143841412,0.005650912607276683,0.0019642209597485797,0.0031427535355977275,0.0014202828478182038,0.0024175027196905595,0.004955880575365648,0.0017224706877795237,0.0013296264958298078,0.0032938474555783874,0.0008461259518916959,0.007282726943067811,0.007826665054998187,0.00042306297594584794,0.0029312220476248037,0.01196663846246827,0.018040614045690802,0.0018735646077601836,0.0011785325758491478,0.0011483137918530159,0.0006648132479149039,0.00033240662395745194,0.001994439743744712,0.0029916596156170676,0.006829445183125831,0.011694669406503082,0.021274023933276924,0.0012691889278375439,0.007040976671098755,0.031306660219992746,0.0012994077118336758,0.0020246585277408436,0.0008159071678955639,0.0029010032636286715,0.0036262540795358395,0.0015713767677988637,0.0024477215036866917,0.0010878762238607518,0.00045328175994197994,0.0034449413755590474,0.00036262540795358394,0.007040976671098755,0.0023570651516982956,0.0012994077118336758,0.0005741568959265079,0.00018131270397679197,0.0006648132479149039,0.004835005439381119,0.0032636286715822557,0.00042306297594584794,0.001118095007856884
From_9,0.013188220230473752,0.039564660691421255,0.03649167733674776,0.015108834827144686,0.0028169014084507044,0.12151088348271447,0.0019206145966709346,0.13700384122919335,0.011907810499359794,0.005121638924455826,0.0734955185659411,0.009859154929577466,0.0033290653008962866,0.002560819462227913,0.031241997439180536,0.003201024327784891,0.0005121638924455825,0.00793854033290653,0.003201024327784891,0.011011523687580026,0.0046094750320102434,0.01702944942381562,0.02560819462227913,0.01818181818181818,0.0015364916773367477,0.0046094750320102434,0.0012804097311139564,0.001792573623559539,0.0037131882202304737,0.0016645326504481433,0.002176696542893726,0.0024327784891165173,0.0029449423815621,0.001024327784891165,0.004225352112676056,0.001024327784891165,0.0012804097311139564,0.001024327784891165,0.0012804097311139564,0.0014084507042253522,0.00678617157490397,0.001024327784891165,0.003969270166453265,0.0016645326504481433,0.00409731113956466,0.0016645326504481433,0.004481434058898848,0.00025608194622279127,0.0037131882202304737,0.0038412291933418692,0.028937259923175414,0.030729833546734954,0.0006402048655569782,0.002176696542893726,0.019462227912932138,0.02676056338028169,0.0028169014084507044,0.0006402048655569782,0.0008962868117797695,0.0016645326504481433,0.0012804097311139564,0.004353393085787452,0.009218950064020487,0.024583866837387964,0.02240717029449424,0.001792573623559539,0.004353393085787452,0.00819462227912932,0.0764404609475032,0.0006402048655569782,0.0030729833546734955,0.0006402048655569782,0.007170294494238156,0.008322663252240717,0.00204865556978233,0.009603072983354673,0.0012804097311139564,0.0007682458386683739,0.0026888604353393084,0.0012804097311139564,0.011267605633802818,0.005121638924455826,0.0014084507042253522,0.0012804097311139564,0.0006402048655569782,0.00038412291933418694,0.003585147247119078,0.009346991037131882,0.0,0.0007682458386683739
