,To_0,To_1,To_2,To_3,To_4,To_5,To_6,To_7,To_8,To_9,To_10,To_11,To_12,To_13,To_14,To_15,To_16,To_17,To_18,To_19,To_20,To_21,To_22,To_23,To_24,To_25,To_26,To_27,To_28,To_29,To_30,To_31,To_32,To_33,To_34,To_35,To_36,To_37,To_38,To_39,To_40,To_41,To_42,To_43,To_44,To_45,To_46,To_47,To_48,To_49,To_50,To_51,To_52,To_53,To_54,To_55,To_56,To_57,To_58,To_59,To_60,To_61,To_62,To_63,To_64,To_65,To_66,To_67,To_68,To_69,To_70,To_71,To_72,To_73,To_74,To_75,To_76,To_77,To_78,To_79,To_80,To_81,To_82,To_83,To_84,To_85,To_86,To_87,To_88,To_89
From_0,7396,907,593,143,1067,2921,433,2279,1662,138,2956,4762,196,7,8902,104,2217,667,2215,502,365,315,535,658,58,272,74,51,163,26,20,160,697,14,30,99,52,41,16,30,195,116,74,74,533,173,141,172,208,59,390,673,21,70,3232,566,34,20,37,36,11,53,169,830,1633,229,42,1449,8896,22,92,6,79,102,16,166,25,10,77,10,163,32,15,27,8,11,52,140,2,19
From_1,4785,663,130,277,23,1536,2628,1079,214,71,966,1725,111,0,895,11,77,1342,96,245,122,941,438,576,32,109,44,31,70,16,31,58,557,12,12,11,5,25,22,22,86,37,66,31,150,31,121,20,77,146,1553,2451,15,80,779,519,15,7,14,36,3,87,451,120,1687,228,16,650,5161,5,21,5,310,118,79,800,88,5,73,11,637,56,7,14,11,4,37,210,8,3
From_2,2395,3129,341,67,19,135,346,188,276,43,173,1358,141,1,792,75,64,225,117,178,143,951,541,539,39,284,27,48,128,51,71,97,503,33,43,11,30,31,63,69,176,52,50,33,132,42,102,49,143,146,1684,2990,60,125,573,441,33,15,66,29,18,181,398,123,6701,13,20,1402,6454,53,98,8,809,130,120,1147,269,21,232,98,1315,225,81,46,12,16,151,973,12,19
From_3,556,657,265,75,11,1293,226,134,464,16,174,168,20,6,319,34,30,65,20,57,23,93,52,101,18,15,13,18,20,8,8,16,44,6,9,2,7,6,2,14,18,10,8,11,19,32,16,13,18,15,193,266,8,21,66,121,9,3,4,3,3,12,55,126,1323,35,5,58,731,3,10,2,36,27,19,108,26,1,30,6,219,13,9,1,1,1,30,89,2,4
From_4,577,2423,4656,908,35,28,14,44,197,123,61,99,7,53,359,57,51,160,75,55,18,42,48,71,15,24,4,20,14,16,14,9,73,8,7,4,6,2,7,6,27,6,10,5,5,10,73,3,27,4,53,51,2,17,47,216,10,7,5,3,0,19,68,5176,5879,12,70,31,269,10,9,1,16,15,11,19,2,1,20,3,38,4,5,3,2,2,36,22,3,9
From_5,1830,8178,14808,1310,18886,794,137,1974,1129,1096,962,453,61,345,779,45,7662,2181,272,295,254,649,1135,778,49,193,48,101,167,44,65,150,157,23,41,17,61,55,48,29,244,42,130,70,178,49,885,53,200,159,1197,1571,35,141,911,1527,75,15,55,65,19,149,251,14846,4006,127,962,897,3615,37,99,9,208,273,86,351,91,14,133,15,566,131,69,35,11,34,113,186,4,24
From_6,375,461,830,93,607,264,93,251,8832,34,158,99,3,28,124,1,809,803,285,106,56,58,74,157,13,40,9,10,19,8,4,13,12,2,6,8,8,14,2,6,31,14,23,10,50,24,63,8,40,7,37,59,5,16,367,99,8,4,6,5,1,8,23,701,2879,16,20,22,293,6,16,1,10,8,9,25,4,3,8,0,22,3,2,2,0,1,21,19,2,4
From_7,714,393,534,126,107,2095,182,1612,1564,115,1206,969,59,18,2084,36,135,395,109,196,135,277,458,307,54,91,40,55,64,44,51,98,77,22,25,20,65,33,26,35,126,32,81,53,76,155,149,118,65,45,360,440,17,53,182,511,37,22,18,20,7,53,109,737,241,360,33,353,1199,25,50,24,128,108,29,143,45,15,90,8,387,78,32,13,17,6,91,123,12,17
From_8,888,388,499,154,321,4941,299,1006,2686,75,984,1091,55,30,1424,65,1126,7195,258,362,157,198,299,650,78,140,52,102,86,106,69,87,62,51,47,33,40,80,30,41,187,65,104,47,80,164,57,44,109,28,241,259,14,97,396,597,62,39,38,22,11,66,99,226,387,704,42,233,1036,43,67,27,96,120,52,81,36,15,114,12,233,78,43,19,6,22,160,108,14,37
From_9,103,309,285,118,22,949,15,1070,93,40,574,77,26,20,244,25,4,62,25,86,36,133,200,142,12,36,10,14,29,13,17,19,23,8,33,8,10,8,10,11,53,8,31,13,32,13,35,2,29,30,226,240,5,17,152,209,22,5,7,13,10,34,72,192,175,14,34,64,597,5,24,5,56,65,16,75,10,6,21,10,88,40,11,10,5,3,28,73,0,6
