,To_0,To_1,To_2,To_3,To_4,To_5,To_6,To_7,To_8,To_9,To_10,To_11,To_12,To_13,To_14,To_15,To_16,To_17,To_18,To_19,To_20,To_21,To_22,To_23,To_24,To_25,To_26,To_27
From_0,12594,24907,419,3264,3298,2527,640,112,153,254,766,361,416,1294,885,656,1374,810,2141,1004,243,1491,112,767,1744,345,529,1189
From_1,6415,35494,684,763,6928,2496,658,227,151,120,952,228,854,559,2576,873,448,716,3969,2031,481,3325,131,2983,4178,772,739,1898
From_2,130,1264,4896,11,1475,480,460,1155,357,78,347,56,358,46,51,42,868,1603,503,1561,976,755,864,2089,2469,659,1270,1663
From_3,9677,3031,87,113,324,346,63,11,21,23,120,28,46,57,89,97,121,83,279,121,50,187,17,83,283,39,99,140
From_4,2919,2755,1338,392,83511,24082,8982,1860,5829,3231,11826,3162,6115,3429,1575,2224,1742,14479,11785,6501,2901,5522,3324,8636,16428,9260,10721,8305
From_5,1819,1130,389,263,24397,181221,4232,904,3003,2448,14575,3001,7182,835,1513,1195,1401,8915,6144,2296,1486,1732,929,3922,10496,2476,8684,6001
From_6,510,302,490,50,9310,4320,11051,1671,2029,617,2625,1248,1759,611,504,368,324,2379,1919,2717,1112,1421,814,2688,4337,2236,2477,1768
From_7,94,244,628,20,2579,962,1234,21994,2391,203,1181,153,1824,406,296,161,120,625,1099,7601,2546,3260,699,2553,2909,4385,3937,1025
From_8,270,267,301,34,7182,3059,2094,2064,13982,903,4683,924,1819,1020,240,544,129,1412,1674,1492,907,985,548,2122,3241,5233,3971,1197
From_9,185,105,71,16,3301,2549,615,187,756,11181,1101,1020,561,122,60,96,349,1585,702,444,232,383,488,711,768,391,762,2890
From_10,776,402,271,88,13061,14092,2628,1385,4493,1037,39283,2854,3325,788,923,6006,380,4037,3797,1893,1475,1138,897,2555,3870,3455,4939,1828
From_11,288,80,54,25,3027,3181,1090,159,982,933,3246,4190,543,159,151,250,101,1402,757,355,212,278,138,576,1048,333,930,543
From_12,453,477,394,68,7014,7228,1470,1344,1495,523,3119,511,4711,959,754,384,216,1470,1703,1668,1009,1137,601,1813,3337,2391,2569,1406
From_13,1147,243,63,53,3804,848,571,242,496,131,793,155,1052,6700,309,207,102,402,853,547,484,529,168,354,909,1170,672,457
From_14,899,1285,84,135,1561,1563,431,254,211,63,941,139,848,276,2271,187,93,326,571,434,165,361,76,422,919,312,447,310
From_15,396,472,68,47,1818,1226,318,132,551,77,5830,237,358,169,158,5583,155,646,870,428,373,351,83,426,848,400,1154,383
From_16,576,1425,1116,127,1734,1611,438,141,117,319,413,115,206,47,193,73,5666,3798,614,951,240,421,825,1531,1743,191,1433,3999
From_17,688,222,1613,78,15298,8840,2332,670,1215,1624,4236,1524,1459,390,306,641,3449,24965,3316,1926,746,1293,1224,4011,7110,1234,5083,4842
From_18,539,402,442,99,13145,6278,1965,674,1112,723,3815,800,1423,538,293,750,686,3386,8901,2589,1654,3412,1187,3848,7793,2374,5680,3737
From_19,180,403,1462,27,5504,1998,2519,9187,2174,377,1839,299,1700,597,303,487,608,1673,2362,35155,4430,8992,4975,10408,9720,5578,8696,4316
From_20,162,208,1088,28,3848,1741,1134,2197,1090,265,1596,208,1216,471,194,348,287,909,2058,2428,8914,2823,926,3065,3167,3041,3148,1792
From_21,197,287,798,27,6197,1835,1662,2165,1215,398,1085,253,1191,611,164,336,543,1496,2674,5668,5560,11072,1170,4937,6961,3949,3279,3685
From_22,78,78,744,6,4135,1028,1024,1996,861,539,1101,167,789,209,63,69,436,992,1274,5453,1043,1243,18826,8032,2607,1550,3631,2380
From_23,674,654,1764,71,10611,4060,3331,5407,3435,657,3180,735,1970,527,409,538,806,3130,4227,11523,3249,5137,7615,46999,11933,6994,7981,5632
From_24,351,416,2980,74,11818,8973,4283,3059,2463,620,3084,868,2735,436,399,421,2206,7953,4664,13437,3114,6171,4289,20348,65709,4420,16251,8044
From_25,391,519,473,62,11916,2798,2797,2077,7991,387,4042,371,3009,2163,371,636,203,1256,3074,2586,1280,1740,823,2886,6119,25441,4795,1877
From_26,348,346,1322,66,13050,9716,2746,3746,3978,1001,5661,1091,2832,785,490,923,1346,5516,5957,7777,3116,2679,4073,7833,13513,4748,36396,6959
From_27,166,97,2366,23,6206,5887,1951,983,1040,3103,1549,503,1072,159,108,240,5327,4926,2464,6173,1376,2954,4762,7997,6599,1177,8712,32435
