,To_0,To_1,To_2,To_3,To_4,To_5,To_6,To_7,To_8,To_9,To_10,To_11,To_12,To_13,To_14,To_15,To_16,To_17,To_18,To_19,To_20,To_21,To_22,To_23,To_24,To_25,To_26,To_27
From_0,610,1557,21,148,216,324,36,3,11,27,55,15,27,75,42,38,7,33,110,35,6,44,9,25,111,28,16,61
From_1,381,2444,27,48,280,367,33,4,4,15,54,19,37,28,163,75,16,25,209,41,7,123,5,200,181,33,24,65
From_2,2,28,93,0,37,29,6,16,3,1,7,1,8,1,1,0,18,32,13,29,5,9,10,62,111,30,34,7
From_3,482,169,2,4,12,57,8,0,1,3,5,2,3,6,7,20,3,5,3,3,0,6,0,1,29,0,0,6
From_4,180,62,37,19,3675,1763,404,47,233,202,508,153,268,147,57,99,55,391,500,194,64,141,158,344,862,367,376,270
From_5,214,119,12,39,1756,29401,254,36,165,173,1583,183,893,71,129,110,52,591,394,81,77,52,44,180,689,229,550,275
From_6,28,5,9,3,444,243,413,36,69,35,91,50,62,29,13,16,8,72,67,116,30,33,43,127,186,91,79,43
From_7,14,1,6,0,80,29,28,426,49,26,32,0,43,7,11,8,1,6,20,207,54,46,14,63,74,127,63,15
From_8,12,7,5,2,300,176,80,62,374,59,115,32,41,21,7,13,2,40,67,34,27,13,23,82,138,203,97,43
From_9,13,1,0,2,221,188,42,21,59,756,77,106,29,6,2,3,3,56,58,21,18,31,46,80,47,19,42,223
From_10,42,14,4,9,490,1518,88,20,116,76,1174,85,122,39,46,129,4,110,128,45,32,21,37,72,173,146,120,71
From_11,15,1,0,1,146,198,36,4,39,80,113,147,24,10,3,10,1,59,27,8,6,9,6,13,30,17,34,31
From_12,33,11,7,1,312,880,44,20,43,31,117,17,180,34,22,22,4,46,69,50,15,19,14,65,153,89,65,62
From_13,105,5,1,5,166,61,16,5,21,14,19,7,26,236,7,4,3,13,23,29,3,11,6,9,43,26,13,9
From_14,38,67,2,2,61,180,13,3,6,2,35,5,38,11,60,8,1,22,27,7,2,9,3,8,51,21,10,7
From_15,39,24,1,2,98,115,20,1,18,5,118,6,18,8,6,106,3,18,33,17,8,8,3,9,50,13,12,4
From_16,16,6,16,0,51,59,13,3,1,2,10,0,8,0,1,2,125,67,19,3,4,3,16,44,66,4,34,57
From_17,34,7,49,2,461,553,80,5,33,50,118,56,62,16,13,14,52,793,102,14,12,29,19,116,245,31,85,76
From_18,43,7,12,4,551,432,90,19,31,61,114,39,54,15,5,27,27,98,265,50,25,88,51,126,404,88,172,123
From_19,6,3,36,0,181,75,127,271,80,14,36,10,52,29,7,9,13,27,66,1430,113,196,232,403,399,231,228,107
From_20,1,2,13,1,101,82,24,26,32,19,25,6,22,2,6,7,3,12,35,46,113,42,27,81,76,101,67,40
From_21,4,2,10,0,197,62,38,25,24,18,22,9,11,10,4,4,8,40,62,97,94,118,33,108,260,129,65,78
From_22,16,2,8,1,179,56,46,61,21,34,31,8,30,4,0,1,21,19,35,292,30,29,809,349,103,42,85,142
From_23,30,24,49,9,495,187,157,185,143,51,110,20,63,21,32,29,23,53,184,642,100,134,263,1974,644,422,217,190
From_24,37,14,122,2,594,547,189,76,131,56,116,28,128,13,22,20,88,283,218,546,70,223,168,1311,4122,245,687,379
From_25,27,18,13,5,506,251,101,29,311,17,159,20,111,53,18,22,3,26,127,97,33,30,23,102,493,1098,149,43
From_26,18,7,30,3,498,554,71,68,98,52,135,30,72,21,17,13,32,133,178,220,45,37,145,242,503,153,803,148
From_27,5,1,14,0,204,254,38,30,30,299,45,20,45,7,1,2,54,69,82,95,35,61,269,336,301,33,238,1288
